service_id,technician,customer_state,service_type,revenue,source_file
4,Alice,TX,Reservice,85.5,services_2024_10_02.csv
5,Dave,CA,Initial Treatment,125.0,services_2024_10_02.csv
6,Bob,UT,Reservice,85.5,services_2024_10_02.csv
7,Charlie,CA,Initial Treatment,125.0,services_2024_10_03.csv
8,Alice,UT,Reservice,85.5,services_2024_10_03.csv
9,Dave,TX,Initial Treatment,125.0,services_2024_10_03.csv
10,Bob,CA,Reservice,85.5,services_2024_10_03.csv
1,Alice,UT,Initial Treatment,125.0,services_2024_10_01.csv
2,Bob,CA,Reservice,85.5,services_2024_10_01.csv
3,Charlie,UT,Initial Treatment,125.0,services_2024_10_01.csv
